Player, Team, Pts, Reb, Ast, Stl, Blk, eFG%, TS%, USG%, O-Rt, D-Rt, DRE/36, PER
Darrun Hilliard, DET, 1.76%, 1.15%, 1.56%, 1.53%, 0.32%, , , , , , -1.87, , 
Brian Roberts, POR, 2.27%, 1.00%, 2.91%, 1.69%, 0.51%, , , , , , 0.00, , 
Anthony Brown, LAL, 1.46%, 2.01%, 1.31%, 2.38%, 1.51%, 38.90%, 42.70%, 11.00%, 87.7, 115.5, -3.45, 4.9, 
Shabazz Napier, ORL, 2.43%, 1.55%, 5.02%, 3.41%, 0.24%, 42.30%, 46.00%, 19.80%, 92.9, 108.5, -2.33, 9.7, 
Ian Clark, GSW, 2.67%, 1.87%, 2.86%, 3.00%, 2.48%, 51.50%, 54.40%, 19.60%, 102.1, 106.7, -0.06, 11.5, 
Joseph Young, IND, 1.82%, 1.32%, 3.56%, 1.90%, 0.00%, , , , , , -3.64, , 
Kendall Marshall, PHI, 1.39%, 0.83%, 4.14%, 2.35%, 0.40%, , , , , , -3.92, , 
Andre Miller, SA, 1.67%, 1.36%, 4.22%, 2.22%, 0.00%, , , , , , 0.58, , 
Axel Toupane, DEN, 0.91%, 0.85%, 0.81%, 1.15%, 1.52%, , , , , , -1.54, , 
Spencer Dinwiddie, DET, 0.50%, 0.38%, 1.14%, 0.51%, 0.00%, , , , , , -4.37, , 
James Anderson, SAC, 2.07%, 2.40%, 2.06%, 2.89%, 3.87%, 44.10%, 46.90%, 13.60%, 87.6, 111.4, -3.31, 6, 
Delon Wright, TOR, 1.17%, 1.00%, 1.99%, 1.19%, 0.63%, , , , , , 0.02, , 
Reggie Bullock, DET, 1.51%, 1.74%, 1.80%, 1.70%, 0.63%, , , , , , 1.25, , 
Briante Weber, MIA, 0.35%, 0.64%, 1.21%, 1.72%, 0.52%, , , , , , -1.57, , 
Rashad Vaughn, MIL, 2.71%, 2.57%, 2.01%, 4.32%, 3.36%, 38.50%, 39.80%, 13.40%, 82.8, 111.4, -3.75, 4.2, 
Kirk Hinrich, ATL, 1.55%, 1.94%, 3.44%, 1.90%, 0.37%, 47.30%, 50.40%, 11.60%, 100.7, 107.2, -1.92, 7.1, 
C.J. Wilcox, LAC, 0.76%, 0.35%, 0.56%, 1.32%, 0.41%, , , , , , 1.48, , 
R.J. Hunter, BOS, 1.12%, 1.10%, 0.77%, 1.80%, 1.32%, , , , , , -1.68, , 
